Song_Name,Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Temp,Target
Venom - Music From The Motion Picture,Eminem,0.749,0.794,0,-5.063,0.064,0.0193,0,0.543,0.46,135.959
Don't Cry (feat. XXXTENTACION),Lil Wayne,0.585,0.709,8,-6.072,0.319,0.409,0,0.183,0.21,111.913
Dedicate,Lil Wayne,0.879,0.662,2,-6.162,0.309,0.033,0,0.716,0.723,117.975
Uproar,Lil Wayne,0.743,0.87,1,-2.188,0.212,0.0595,0,0.299,0.884,99.075
Let It Fly (feat. Travis Scott),Lil Wayne,0.902,0.819,1,-3.321,0.317,0.0414,0,0.106,0.746,89.0
Can't Be Broken,Lil Wayne,0.578,0.577,2,-5.997,0.202,0.121,0,0.086,0.154,99.288
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,0.855,0.694,2,-4.393,0.169,0.371,0,0.109,0.49,122.078
Open Letter,Lil Wayne,0.769,0.55,9,-6.299,0.359,0.0283,0,0.139,0.36,97.01
Famous (feat. Reginae Carter),Lil Wayne,0.624,0.568,9,-5.664,0.143,0.0301,0,0.25,0.115,149.857
Problems,Lil Wayne,0.807,0.571,2,-6.937,0.312,0.0169,0,0.252,0.0993,139.996
Dope Niggaz (feat. Snoop Dogg),Lil Wayne,0.752,0.708,9,-5.053,0.28,0.0395,0,0.0601,0.645,84.974
Hittas,Lil Wayne,0.788,0.765,2,-3.93,0.439,0.276,0,0.216,0.667,144.046
Open Safe,Lil Wayne,0.929,0.598,1,-5.373,0.156,0.00705,0,0.0549,0.501,96.012
Start This Shit Off Right (feat. Ashanti & Mack Maine),Lil Wayne,0.865,0.568,0,-5.112,0.241,0.0206,0,0.186,0.881,90.985
Dope New Gospel (feat. Nivea),Lil Wayne,0.651,0.719,0,-3.924,0.301,0.227,0,0.109,0.402,116.77
Used 2,Lil Wayne,0.678,0.666,5,-6.949,0.487,0.337,0,0.115,0.523,87.634
Let It All Work Out,Lil Wayne,0.552,0.562,11,-6.862,0.164,0.0216,0,0.302,0.439,135.014
January 28th,J. Cole,0.483,0.546,5,-8.59,0.349,0.259,0,0.0951,0.372,81.967
Wet Dreamz,J. Cole,0.504,0.705,6,-8.205,0.364,0.0752,0,0.128,0.584,175.483
03' Adolescence,J. Cole,0.518,0.809,1,-6.362,0.566,0.389,0,0.275,0.261,146.216
A Tale of 2 Citiez,J. Cole,0.559,0.556,6,-7.844,0.531,0.553,0,0.251,0.362,189.861
G.O.M.D.,J. Cole,0.889,0.393,4,-10.821,0.267,0.331,8.67e-06,0.283,0.304,128.065
No Role Modelz,J. Cole,0.696,0.521,10,-8.465,0.332,0.302,0,0.0565,0.458,100.0
Apparently,J. Cole,0.801,0.543,5,-9.236,0.091,0.564,0,0.116,0.534,133.982
Love Yourz,J. Cole,0.502,0.623,8,-8.812,0.441,0.609,0,0.119,0.399,75.555
Note to Self,J. Cole,0.652,0.455,8,-8.673,0.115,0.855,0,0.171,0.325,83.151
Legend,Drake,0.715,0.561,1,-7.605,0.0721,0.024,0,0.0769,0.297,100.076
Energy,Drake,0.743,0.571,11,-8.038,0.505,0.329,0,0.522,0.571,172.056
10 Bands,Drake,0.835,0.756,7,-3.789,0.382,0.23,0,0.0801,0.87,173.0
Know Yourself,Drake,0.735,0.41,11,-8.735,0.2,0.19,0,0.341,0.164,114.812
No Tellin',Drake,0.827,0.477,7,-10.408,0.275,0.535,0,0.136,0.558,95.03
Madonna,Drake,0.891,0.515,2,-8.717,0.0545,0.0151,2.11e-05,0.414,0.116,110.043
6 God,Drake,0.857,0.639,2,-8.622,0.128,0.0239,0,0.121,0.477,105.504
Star67,Drake,0.478,0.395,3,-7.917,0.213,0.747,4.73e-06,0.264,0.17,74.515
Preach,Drake,0.563,0.501,11,-8.041,0.426,0.208,7.89e-05,0.104,0.398,130.288
Used To,Drake,0.925,0.429,10,-7.663,0.122,0.0795,0.000256,0.0815,0.319,96.002
Now & Forever,Drake,0.575,0.515,6,-7.325,0.0324,0.132,0,0.102,0.0946,107.945
Company,Drake,0.654,0.555,7,-8.24,0.052,0.0347,0,0.17,0.11,107.535
You & The 6,Drake,0.559,0.493,7,-7.467,0.296,0.153,0,0.132,0.214,154.182
Jungle,Drake,0.508,0.234,7,-8.724,0.109,0.614,0.000163,0.111,0.392,195.092
6PM In New York,Drake,0.602,0.849,5,-4.141,0.299,0.105,0,0.155,0.319,89.716
Tuscan Leather,Drake,0.597,0.679,6,-5.401,0.39,0.115,0,0.231,0.3,79.95
Furthest Thing,Drake,0.484,0.78,9,-5.264,0.135,0.147,0,0.057,0.271,137.101
Started From the Bottom,Drake,0.794,0.522,8,-7.829,0.159,0.0328,0,0.156,0.567,86.318
Wu-Tang Forever,Drake,0.832,0.427,8,-8.516,0.257,0.0474,0,0.101,0.369,99.935
Own It,Drake,0.654,0.342,8,-11.305,0.101,0.0487,3.37e-05,0.313,0.294,103.064
Worst Behavior,Drake,0.779,0.799,9,-6.359,0.15,0.158,0,0.209,0.414,109.944
From Time,Drake,0.738,0.491,1,-9.726,0.413,0.626,0,0.126,0.448,94.378
The Language,Drake,0.831,0.651,1,-8.363,0.437,0.0125,0,0.0809,0.502,120.064
305 To My City,Drake,0.419,0.494,4,-8.782,0.345,0.0567,0,0.144,0.134,67.622
Too Much,Drake,0.637,0.569,6,-5.858,0.55,0.173,0,0.18,0.148,140.269
Pound Cake / Paris Morton Music 2,Drake,0.521,0.762,2,-6.75,0.534,0.139,1.11e-05,0.114,0.264,164.289
Come Thru,Drake,0.558,0.468,3,-5.812,0.173,0.159,0,0.586,0.405,81.977
All Me,Drake,0.67,0.515,1,-6.977,0.397,0.0705,0,0.25,0.422,122.006
Overtime,Big Sean,0.468,0.837,1,-5.654,0.381,0.187,0,0.687,0.605,95.47
Gold Roses (feat. Drake),Rick Ross,0.581,0.642,1,-5.318,0.407,0.0519,0,0.183,0.536,80.142
Undefeated (feat. Lil Keed),Future,0.855,0.561,2,-5.105,0.277,0.00135,0,0.187,0.408,157.016
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,0.883,0.525,2,-8.054,0.0633,0.189,0,0.0971,0.312,99.978
Baby,Quality Control,0.97,0.463,10,-7.259,0.366,0.0957,0,0.151,0.46,108.003
Panini,Lil Nas X,0.703,0.594,5,-6.146,0.0752,0.342,0,0.123,0.475,153.848
Money In The Grave (Drake ft. Rick Ross),Drake,0.831,0.502,10,-4.045,0.046,0.101,0,0.122,0.101,100.541
Ransom,Lil Tecca,0.745,0.642,7,-6.257,0.287,0.0204,0,0.0658,0.226,179.974
The London (feat. J. Cole & Travis Scott),Young Thug,0.796,0.586,4,-6.946,0.147,0.0247,0,0.132,0.179,97.981
Tap (feat. Meek Mill),NAV,0.901,0.676,2,-7.033,0.251,0.0646,0,0.0863,0.452,85.018
Mac 10,Trippie Redd,0.79,0.629,9,-7.172,0.138,0.179,0,0.356,0.833,124.063
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,0.894,0.511,2,-4.768,0.42,0.0251,0,0.14,0.568,120.08
Suge,DaBaby,0.876,0.662,2,-6.482,0.426,0.0608,0,0.127,0.844,75.445
Broke As Fuck,YBN Cordae,0.616,0.669,1,-5.791,0.32,0.0298,0,0.127,0.275,154.056
100 Shooters (feat. Meek Mill & Doe Boy),Future,0.645,0.675,1,-5.282,0.202,0.0104,0,0.273,0.171,120.672
Forever,Tory Lanez,0.805,0.776,1,-6.006,0.139,0.000159,0,0.0502,0.172,146.997
Out The Mud,Lil Baby,0.746,0.497,1,-5.785,0.149,0.00944,8.6e-05,0.101,0.25,160.051
FIND HIM!,Comethazine,0.769,0.523,7,-9.762,0.273,0.089,0,0.16,0.449,139.785
Pop Out (feat. Lil Tjay),Polo G,0.861,0.621,1,-7.106,0.362,0.121,0,0.0689,0.254,83.976
Water on Water on Water,Young Dolph,0.919,0.56,8,-5.221,0.3,0.0119,0,0.0963,0.382,141.004
Feeling,Juice WRLD,0.712,0.515,10,-6.004,0.0857,0.234,0,0.205,0.563,160.0
GRoCERIES,Chance the Rapper,0.906,0.596,0,-5.88,0.243,0.0578,0,0.109,0.701,144.038
Rodeo,Lil Nas X,0.706,0.679,9,-5.614,0.0324,0.139,6.98e-05,0.465,0.657,140.081
"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",XXXTENTACION,0.919,0.538,1,-6.15,0.241,0.0243,0.0415,0.0956,0.597,124.952
Clout (feat. Cardi B),Offset,0.919,0.622,1,-7.384,0.0997,0.228,4.24e-06,0.122,0.424,140.022
Cash Shit (feat. DaBaby),Megan Thee Stallion,0.921,0.635,1,-4.904,0.416,0.0218,0,0.0946,0.549,130.028
Baby Sitter (feat. Offset),DaBaby,0.852,0.73,1,-5.803,0.0579,0.0219,0,0.336,0.394,92.506
Sanguine Paradise,Lil Uzi Vert,0.729,0.603,6,-6.736,0.0666,0.0948,0,0.113,0.207,134.972
No Cap (feat. Rich The Kid),83 Babies,0.815,0.454,8,-8.916,0.333,0.413,0,0.105,0.712,139.929
That's A Rack,Lil Uzi Vert,0.852,0.432,1,-8.04,0.501,0.0599,0,0.146,0.258,140.042
Daddy (feat. Rich The Kid),Blueface,0.864,0.598,11,-8.076,0.238,0.0673,0,0.154,0.464,107.93
MEGATRON,Nicki Minaj,0.893,0.641,1,-3.051,0.272,0.128,8.06e-05,0.086,0.771,94.017
Wam,A$AP Ferg,0.837,0.626,1,-4.697,0.212,0.0675,0,0.257,0.114,95.987
Broke Leg (with Quavo & Tyga),Tory Lanez,0.851,0.85,1,-3.4,0.0904,0.226,0,0.145,0.642,99.975
Bussdown (feat. Offset),Blueface,0.905,0.659,1,-4.785,0.433,0.0583,0,0.0775,0.87,121.103
My Type,Saweetie,0.899,0.811,2,-6.294,0.258,0.000677,0,0.0672,0.587,105.038
ICE (feat. Gunna & Lil Baby),Gucci Mane,0.861,0.52,10,-5.498,0.472,0.193,0,0.109,0.384,153.899
Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),Tee Grizzley,0.779,0.705,8,-6.383,0.051,0.237,0,0.0899,0.451,122.996
Under Enemy Arms,Trippie Redd,0.751,0.776,9,-5.266,0.0357,0.223,0,0.0507,0.603,129.987
Uno,Ambjaay,0.978,0.477,8,-8.159,0.155,0.000143,0,0.133,0.196,110.002
Bitchuary,Shordie Shordie,0.762,0.383,5,-10.098,0.202,0.349,0,0.127,0.44,92.947
On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),Mustard,0.857,0.676,1,-5.359,0.192,0.218,0,0.0592,0.339,103.998
Press,Cardi B,0.888,0.525,1,-5.665,0.305,0.029,5.68e-06,0.137,0.243,133.983
BLOOD.,Kendrick Lamar,0.357,0.238,8,-16.78,0.265,0.142,0.0859,0.55,0.494,156.907
DNA.,Kendrick Lamar,0.638,0.523,1,-6.664,0.357,0.00454,0,0.0842,0.422,139.913
ELEMENT.,Kendrick Lamar,0.748,0.705,4,-4.547,0.485,0.204,0,0.246,0.483,189.891
FEEL.,Kendrick Lamar,0.746,0.798,0,-8.382,0.349,0.137,0,0.139,0.553,109.968
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,0.658,0.535,9,-8.983,0.0573,0.0265,0,0.2,0.419,110.684
PRIDE.,Kendrick Lamar,0.665,0.535,4,-7.056,0.0572,0.0786,1.68e-05,0.154,0.37,138.842
HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
LUST.,Kendrick Lamar,0.678,0.562,3,-9.197,0.508,0.193,0,0.104,0.566,94.241
LOVE. FEAT. ZACARI.,Kendrick Lamar,0.8,0.585,10,-7.343,0.0924,0.264,0,0.153,0.779,126.058
XXX. FEAT. U2.,Kendrick Lamar,0.568,0.619,1,-6.899,0.414,0.138,1.67e-06,0.11,0.293,170.115
FEAR.,Kendrick Lamar,0.588,0.479,1,-7.039,0.281,0.604,7.2e-06,0.527,0.434,150.414
GOD.,Kendrick Lamar,0.706,0.557,0,-5.8,0.0813,0.0347,0,0.276,0.205,132.98
DUCKWORTH.,Kendrick Lamar,0.552,0.731,7,-6.873,0.615,0.0536,0,0.258,0.632,174.516
For Free? - Interlude,Kendrick Lamar,0.526,0.896,8,-4.708,0.197,0.588,0,0.37,0.745,129.313
King Kunta,Kendrick Lamar,0.884,0.657,6,-4.569,0.0977,0.00589,0,0.154,0.489,107.059
Institutionalized,Kendrick Lamar,0.539,0.731,3,-5.085,0.453,0.112,1.19e-06,0.129,0.568,81.114
Alright,Kendrick Lamar,0.796,0.766,7,-5.974,0.238,0.0742,0,0.0827,0.558,110.034
Momma,Kendrick Lamar,0.615,0.743,1,-4.58,0.325,0.254,0,0.665,0.515,111.914
Hood Politics,Kendrick Lamar,0.731,0.661,6,-6.562,0.376,0.145,0,0.12,0.369,87.912
How Much A Dollar Cost,Kendrick Lamar,0.624,0.729,1,-4.747,0.198,0.415,0,0.135,0.334,87.948
Complexion (A Zulu Love),Kendrick Lamar,0.665,0.558,2,-7.863,0.303,0.566,4.57e-06,0.219,0.37,89.953
The Blacker The Berry,Kendrick Lamar,0.553,0.852,10,-4.08,0.305,0.00713,0,0.463,0.27,176.058
You Ain't Gotta Lie (Momma Said),Kendrick Lamar,0.443,0.635,11,-5.404,0.223,0.455,2.07e-05,0.285,0.672,93.742
i,Kendrick Lamar,0.541,0.809,8,-4.286,0.324,0.708,0,0.72,0.753,120.094
Sherane a.k.a Master Splinter’s Daughter,Kendrick Lamar,0.503,0.508,10,-11.094,0.52,0.486,0.0102,0.124,0.317,81.908
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,0.587,0.698,1,-8.948,0.0943,0.0152,0,0.442,0.0985,133.954
The Art of Peer Pressure,Kendrick Lamar,0.555,0.611,10,-9.216,0.356,0.286,0.00106,0.273,0.411,94.939
good kid,Kendrick Lamar,0.451,0.831,5,-8.641,0.307,0.0623,0,0.185,0.41,176.162
Real,Kendrick Lamar,0.652,0.458,1,-12.272,0.194,0.0282,0,0.664,0.174,100.046
The Recipe - Bonus Track,Kendrick Lamar,0.759,0.782,11,-6.975,0.0741,0.000589,0,0.35,0.507,131.04
Black Boy Fly - Bonus Track,Kendrick Lamar,0.593,0.731,1,-5.21,0.149,0.108,1.52e-06,0.103,0.61,160.084
Now Or Never - Bonus Track,Kendrick Lamar,0.528,0.708,7,-5.879,0.207,0.264,0,0.308,0.781,97.8
The Recipe (Black Hippy Remix) - Bonus Track,Kendrick Lamar,0.723,0.758,1,-7.303,0.148,0.000588,0,0.357,0.628,131.051
Backseat Freestyle,Kendrick Lamar,0.546,0.651,1,-7.601,0.3,0.000739,0,0.235,0.646,77.878
Money Trees,Kendrick Lamar,0.716,0.531,7,-7.355,0.122,0.0703,0,0.224,0.344,71.994
Poetic Justice,Kendrick Lamar,0.779,0.572,6,-9.985,0.378,0.157,0,0.246,0.647,135.956
m.A.A.d city,Kendrick Lamar,0.487,0.729,2,-6.815,0.271,0.0538,4.07e-06,0.44,0.217,91.048
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,0.716,0.485,1,-7.745,0.404,0.123,2.69e-05,0.604,0.26,74.132
"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,0.654,0.753,11,-7.556,0.395,0.303,8.08e-05,0.13,0.371,110.722
Real,Kendrick Lamar,0.652,0.458,1,-12.272,0.194,0.0282,0,0.664,0.174,100.046
Compton,Kendrick Lamar,0.342,0.907,1,-4.432,0.415,0.0815,0,0.383,0.225,170.38
"Bitch, Don’t Kill My Vibe - Remix",Kendrick Lamar,0.625,0.773,1,-5.822,0.235,0.0479,0,0.201,0.134,133.798
F*ck Your Ethnicity,Kendrick Lamar,0.601,0.883,0,-6.944,0.328,0.392,1.93e-05,0.397,0.52,150.967
Hol' Up,Kendrick Lamar,0.607,0.869,5,-5.271,0.345,0.781,0,0.137,0.577,155.983
A.D.H.D,Kendrick Lamar,0.609,0.799,9,-6.883,0.24,0.33,0,0.108,0.582,157.74
No Make-Up (Her Vice),Kendrick Lamar,0.535,0.696,5,-7.181,0.0901,0.541,0.00521,0.63,0.213,91.002
Tammy's Song (Her Evils),Kendrick Lamar,0.477,0.835,9,-5.942,0.438,0.924,0.000508,0.129,0.52,97.317
The Spiteful Chant,Kendrick Lamar,0.596,0.783,0,-4.356,0.0313,0.0506,0,0.181,0.334,127.018
Keisha's Song (Her Pain),Kendrick Lamar,0.465,0.854,7,-7.564,0.377,0.429,0,0.618,0.199,85.126
Rigamortus,Kendrick Lamar,0.52,0.807,2,-6.281,0.409,0.24,0.00257,0.199,0.628,178.012
Kush & Corinthians,Kendrick Lamar,0.383,0.731,1,-5.996,0.201,0.726,0,0.504,0.306,176.781
Blow My High (Members Only),Kendrick Lamar,0.959,0.524,9,-8.145,0.274,0.316,0,0.274,0.84,119.933
Ab-Souls Outro,Kendrick Lamar,0.471,0.839,5,-6.852,0.379,0.116,0,0.658,0.639,115.79
HiiiPower,Kendrick Lamar,0.695,0.827,6,-5.742,0.282,0.179,0,0.283,0.538,81.024
Bank Account,21 Savage,0.884,0.346,8,-8.228,0.351,0.0151,7.04e-06,0.0871,0.376,75.016
Numb,21 Savage,0.839,0.437,5,-11.344,0.285,0.0438,2.75e-06,0.131,0.464,82.008
Bad Business,21 Savage,0.856,0.54,6,-9.729,0.373,0.000985,1.55e-05,0.0854,0.387,158.05
Whole Lot,21 Savage,0.916,0.537,6,-9.79,0.245,0.188,0.00286,0.115,0.223,123.02
Close My Eyes,21 Savage,0.921,0.472,10,-7.88,0.43,0.164,0.432,0.156,0.198,139.996
Special,21 Savage,0.891,0.321,1,-12.813,0.426,0.147,1.89e-05,0.117,0.331,136.005
Baby Girl,21 Savage,0.852,0.459,9,-9.658,0.391,0.00781,0.119,0.133,0.157,163.021
Thug Life,21 Savage,0.8,0.467,0,-9.974,0.45,0.159,0,0.653,0.307,132.054
Famous,21 Savage,0.779,0.597,9,-9.652,0.434,0.723,4.47e-05,0.0508,0.646,173.986
Dead People,21 Savage,0.835,0.521,5,-11.666,0.343,0.297,0.000458,0.115,0.211,158.923
7 Min Freestyle,21 Savage,0.844,0.454,1,-9.028,0.259,0.0723,0.787,0.126,0.274,155.029
Money Convo,21 Savage,0.821,0.276,1,-10.556,0.123,0.0392,0.0233,0.11,0.0569,144.896
Nothin New,21 Savage,0.743,0.467,0,-10.354,0.401,0.145,1.15e-06,0.0891,0.19,150.004
Cold Wind Blows,Eminem,0.619,0.972,11,-0.517,0.416,0.13,0,0.782,0.584,169.04
On Fire,Eminem,0.724,0.909,8,-4.349,0.287,0.101,0,0.415,0.558,91.904
Won't Back Down,Eminem,0.478,0.951,2,-2.347,0.19,0.0133,2.21e-06,0.0533,0.338,179.978
W.T.P.,Eminem,0.77,0.937,9,-2.327,0.247,0.0319,0,0.348,0.685,95.011
Going Through Changes,Eminem,0.693,0.899,0,-4.084,0.259,0.0197,0,0.0594,0.319,86.048
Not Afraid,Eminem,0.855,0.954,0,-1.19,0.264,0.529,0,0.205,0.668,114.635
Seduction,Eminem,0.628,0.847,6,-4.386,0.387,0.124,0,0.652,0.504,78.031
No Love,Eminem,0.522,0.932,11,-2.87,0.255,0.119,0,0.177,0.33,129.473
Space Bound,Eminem,0.668,0.886,0,-3.474,0.117,0.0417,0,0.459,0.503,142.002
Cinderella Man,Eminem,0.679,0.908,8,-3.411,0.202,0.234,0,0.0821,0.687,85.918
25 To Life,Eminem,0.701,0.931,8,-0.945,0.243,0.239,0,0.194,0.362,79.996
Almost Famous,Eminem,0.537,0.961,0,-1.498,0.295,0.0253,0,0.332,0.487,82.44
Love The Way You Lie,Eminem,0.749,0.925,10,-5.034,0.227,0.241,0,0.52,0.641,86.989
You’re Never Over,Eminem,0.691,0.96,4,-1.616,0.198,0.0193,0,0.0626,0.645,157.02
Untitled,Eminem,0.857,0.841,11,-2.839,0.103,0.34,0,0.161,0.74,112.023
My Mom,Eminem,0.586,0.882,5,-1.474,0.362,0.278,0,0.168,0.76,180.252
Insane,Eminem,0.91,0.881,9,-0.874,0.149,0.249,0,0.337,0.688,98.078
Bagpipes From Baghdad,Eminem,0.747,0.903,5,-2.452,0.219,0.0965,0,0.0944,0.429,93.061
Hello,Eminem,0.852,0.928,10,-5.811,0.193,0.166,0,0.57,0.736,96.01
Same Song & Dance,Eminem,0.815,0.713,10,-4.604,0.249,0.145,0,0.46,0.22,101.973
We Made You,Eminem,0.919,0.844,2,-1.157,0.0819,0.102,0,0.139,0.673,114.015
Stay Wide Awake,Eminem,0.784,0.845,10,-3.316,0.297,0.231,0,0.238,0.649,75.062
Old Time's Sake,Eminem,0.761,0.826,1,-1.973,0.3,0.0575,0,0.352,0.8,176.039
Must Be The Ganja,Eminem,0.766,0.817,1,-0.014,0.293,0.327,0,0.358,0.79,83.049
Deja Vu,Eminem,0.67,0.87,4,-1.904,0.205,0.203,0,0.266,0.584,83.865
Beautiful,Eminem,0.732,0.678,5,-4.44,0.0865,0.237,0,0.0766,0.497,132.05
Crack A Bottle,Eminem,0.519,0.88,9,-2.542,0.271,0.082,0,0.111,0.409,168.928
Underground,Eminem,0.815,0.796,8,-3.458,0.355,0.131,0,0.564,0.522,115.086
Bougie (feat. Meek Mill),Lil Durk,0.646,0.848,1,-4.194,0.357,0.0058,0,0.0952,0.408,179.892
Barry Bonds,Kanye West,0.48,0.624,1,-6.131,0.382,0.0451,0,0.337,0.704,165.057
Runaway,Kanye West,0.571,0.568,1,-3.827,0.0703,0.218,0.0021,0.512,0.109,86.986
Monster,Kanye West,0.628,0.692,2,-5.64,0.202,0.00244,0.013,0.668,0.0964,124.791
New Slaves,Kanye West,0.5,0.593,1,-4.34,0.0898,0.141,6.21e-06,0.0969,0.329,68.456
30 Hours,Kanye West,0.822,0.813,7,-6.736,0.291,0.032,0,0.107,0.357,95.122
Freestyle 4,Kanye West,0.472,0.562,9,-8.295,0.0965,0.0476,0,0.0901,0.508,125.524
Feel The Love,KIDS SEE GHOSTS,0.58,0.469,0,-5.946,0.104,0.126,7.32e-05,0.099,0.369,110.573
N,Jaden,0.402,0.483,1,-9.139,0.345,0.329,0,0.14,0.315,173.994
Chateau,Jaden,0.759,0.812,8,-4.257,0.251,0.251,0,0.348,0.229,139.911
On My Own,Jaden,0.344,0.843,1,-3.711,0.0422,0.0214,0.00345,0.189,0.219,97.5
Got It,Jaden,0.802,0.673,10,-5.108,0.248,0.101,7.33e-06,0.109,0.659,150.915
Pain,Jaden,0.397,0.586,0,-7.242,0.104,0.272,9.06e-05,0.18,0.33,151.31
Ni**as In Paris,Various Artists,0.757,0.882,1,-6.125,0.248,0.0763,0,0.251,0.684,140.047
Dirt off Your Shoulder / Lying from You,JAY Z,0.557,0.905,11,-4.506,0.267,0.0104,0,0.111,0.799,160.013
Big Pimpin' / Papercut,JAY Z,0.765,0.938,4,-2.718,0.0481,0.196,0.000687,0.485,0.965,138.312
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,0.852,0.693,1,-6.87,0.274,0.024,0,0.11,0.66,95.967
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,0.85,0.569,5,-8.152,0.136,0.0609,0.0816,0.1,0.294,80.02
Walk (Remix),Comethazine,0.813,0.586,2,-10.478,0.379,0.0547,0,0.238,0.798,160.043
Gunz N Butter,A$AP Rocky,0.852,0.632,11,-8.08,0.431,0.606,0,0.142,0.716,140.489
Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,0.877,0.477,9,-7.379,0.0587,0.307,0,0.0929,0.552,127.023
Black and Yellow,Wiz Khalifa,0.684,0.834,2,-4.524,0.0675,0.0646,0,0.271,0.538,164.02
